AreaColumns,Timecolumns,dataValue,stfips,areatype,area,maparea,areaname,Stateabbrv,seriescode,seriestitle,adjusted,CURempces,CURempprodwrk,CURempfemale,CURhours,CURearnings,CURhourearn,CURhoursallwrkr,CURearningsallwrkr,CURhourearnallwrkr,CURsupprecord,CURsupphe,CURsupppw,CURsuppfem,CURsuppheallwrkr,CURprelim,PYempces,PYempprodwrk,PYempfemale,PYhours,PYearnings,PYhourearn,PYhoursallwrkr,PYearningsallwrkr,PYhourearnallwrkr,PYsupprecord,PYsupphe,PYsupppw,PYsuppfem,PYsuppheallwrkr,PYprelim,PMempces,PMempprodwrk,PMempfemale,PMhours,PMearnings,PMhourearn,PMhoursallwrkr,PMearningsallwrkr,PMhourearnallwrkr,PMsupprecord,PMsupphe,PMsupppw,PMsuppfem,PMsuppheallwrkr,PMprelim,CURperiodyear,CURperiodtype,CURperiod,PMperiodyear,PMperiodtype,PMperiod,PYperiodyear,PYperiodtype,PYperiod,Timeperiod,PriorMonthTimeperiod,PriorYearTimeperiod,MonthSpanTimeperiod,YearSpanTimeperiod,Fullperiod,Sortperiod,Rank,MonthEmploymentChangeAll,YearEmploymentChangeAll,MonthEmploymentChangeProd,YearEmploymentChangeProd,SeriesLevel,ChildPrefix,HasChildren,ParentCode,Preliminary,PriorMonthPreliminary,PriorYearPreliminary,seriesselection
,,,35,21,010740,3521010740,Albuquerque MSA,NM,05000000,Total private,0,291200,s;,s;,s;,s;,s;,33.5,820.42,24.49,0,1,1,1,0,0,317600,s;,s;,s;,s;,s;,33.1,804.99,24.32,0,1,1,1,0,0,292900,s;,s;,s;,s;,s;,33.2,802.11,24.16,0,1,1,1,0,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,10,-1700,-26400,s;,s;,1,,False,00000000,No,No,No,Total private:05000000
,,,35,21,029740,3521029740,Las Cruces MSA,NM,05000000,Total private,0,50500,s;,s;,s;,s;,s;,33.5,747.39,22.31,0,1,1,1,0,0,54700,s;,s;,s;,s;,s;,34.0,728.62,21.43,0,1,1,1,0,0,51100,s;,s;,s;,s;,s;,34.0,747.32,21.98,0,1,1,1,0,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,11,-600,-4200,s;,s;,1,,False,00000000,No,No,No,Total private:05000000
,,,00,00,000000,0000000000,United States,US,06000000,Goods-producing,0,19802000,14031000,4524000,40.7,1045.58,25.69,39.8,1208.33,30.36,0,0,0,0,0,0,20626000,14674000,4687000,40.5,1009.26,24.92,39.7,1170.36,29.48,0,0,0,0,0,0,20157000,14324000,4582000,41.2,1065.02,25.85,40.2,1221.28,30.38,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,12,-355000,-824000,-293000,-643000,1,,False,00000000,No,Yes,No,Goods-producing:06000000
,,,35,21,029740,3521029740,Las Cruces MSA,NM,06000000,Goods-producing,0,6500,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,6700,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,6300,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,13,200,-200,s;,s;,1,,False,00000000,No,No,No,Goods-producing:06000000
,,,35,21,010740,3521010740,Albuquerque MSA,NM,06000000,Goods-producing,0,40000,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,41500,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,39700,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,14,300,-1500,s;,s;,1,,False,00000000,No,No,No,Goods-producing:06000000
,,,35,21,022140,3521022140,Farmington MSA,NM,06000000,Goods-producing,0,7200,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,9200,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,7500,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,15,-300,-2000,s;,s;,1,,False,00000000,No,No,No,Goods-producing:06000000
,,,35,21,042140,3521042140,Santa Fe MSA,NM,06000000,Goods-producing,0,3800,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,3900,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,3800,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,16,0,-100,s;,s;,1,,False,00000000,No,No,No,Goods-producing:06000000
,,,35,01,000000,3501000000,New Mexico,NM,06000000,Goods-producing,0,89600,s;,s;,s;,s;,s;,38.6,950.33,24.62,0,1,1,1,0,0,104400,s;,s;,s;,s;,s;,39.4,1033.46,26.23,0,1,1,1,0,0,89300,s;,s;,s;,s;,s;,40.5,1023.44,25.27,0,1,1,1,0,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,17,300,-14800,s;,s;,1,,False,00000000,No,No,No,Goods-producing:06000000
,,,00,00,000000,0000000000,United States,US,07000000,Service-providing,0,121178000,0,65874000,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,129429000,0,70706000,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,123543000,0,67072000,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,18,-2365000,-8251000,0,0,1,,False,00000000,No,Yes,No,Service-providing:07000000
,,,35,21,029740,3521029740,Las Cruces MSA,NM,07000000,Service-providing,0,62100,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,66800,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,64000,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,19,-1900,-4700,s;,s;,1,,False,00000000,No,No,No,Service-providing:07000000
,,,35,21,022140,3521022140,Farmington MSA,NM,07000000,Service-providing,0,34000,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,37400,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,34500,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,20,-500,-3400,s;,s;,1,,False,00000000,No,No,No,Service-providing:07000000
,,,35,21,010740,3521010740,Albuquerque MSA,NM,07000000,Service-providing,0,327400,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,356800,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,331000,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,21,-3600,-29400,s;,s;,1,,False,00000000,No,No,No,Service-providing:07000000
,,,35,01,000000,3501000000,New Mexico,NM,07000000,Service-providing,0,678000,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,750200,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,691800,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,22,-13800,-72200,s;,s;,1,,False,00000000,No,No,No,Service-providing:07000000
,,,35,21,042140,3521042140,Santa Fe MSA,NM,07000000,Service-providing,0,50800,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,58700,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,51900,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,23,-1100,-7900,s;,s;,1,,False,00000000,No,No,No,Service-providing:07000000
,,,00,00,000000,0000000000,United States,US,08000000,Private service-providing,0,99725000,83089000,53466000,32.9,826.45,25.12,33.5,1004.00,29.97,0,0,0,0,0,0,106779000,89880000,57545000,32.0,760.64,23.77,32.8,929.55,28.34,0,0,0,0,0,0,101732000,85018000,54468000,33.1,825.18,24.93,33.7,1000.89,29.70,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,24,-2007000,-7054000,-1929000,-6791000,1,,False,00000000,No,Yes,No,Private service-providing:08000000
,,,35,21,010740,3521010740,Albuquerque MSA,NM,08000000,Private service-providing,0,251200,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,276100,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,253200,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,25,-2000,-24900,s;,s;,1,,False,00000000,No,No,No,Private service-providing:08000000
,,,35,21,029740,3521029740,Las Cruces MSA,NM,08000000,Private service-providing,0,44000,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,48000,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,44800,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,26,-800,-4000,s;,s;,1,,False,00000000,No,No,No,Private service-providing:08000000
,,,35,21,022140,3521022140,Farmington MSA,NM,08000000,Private service-providing,0,24400,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,26400,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,24500,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,27,-100,-2000,s;,s;,1,,False,00000000,No,No,No,Private service-providing:08000000
,,,35,01,000000,3501000000,New Mexico,NM,08000000,Private service-providing,0,508200,s;,s;,s;,s;,s;,33.5,799.98,23.88,0,1,1,1,0,0,564700,s;,s;,s;,s;,s;,32.6,735.13,22.55,0,1,1,1,0,0,514900,s;,s;,s;,s;,s;,32.8,782.94,23.87,0,1,1,1,0,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,28,-6700,-56500,s;,s;,1,,False,00000000,No,No,No,Private service-providing:08000000
,,,35,21,042140,3521042140,Santa Fe MSA,NM,08000000,Private service-providing,0,37100,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,43400,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,37800,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,29,-700,-6300,s;,s;,1,,False,00000000,No,No,No,Private service-providing:08000000
,,,00,00,000000,0000000000,United States,US,10000000,Mining and logging,0,593000,426000,80000,46.1,1405.59,30.49,44.9,1560.28,34.75,0,0,0,0,0,0,678000,486000,90000,45.4,1377.44,30.34,45.0,1549.35,34.43,0,0,0,0,0,0,601000,429000,84000,45.8,1376.75,30.06,44.8,1556.35,34.74,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,30,-8000,-85000,-3000,-60000,1,10,True,00000000,No,Yes,No,Mining and logging:10000000
,,,35,01,000000,3501000000,New Mexico,NM,10000000,Natural resources and mining,0,16900,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,25000,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,16400,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,31,500,-8100,s;,s;,1,10,True,00000000,No,No,No,Natural resources and mining:10000000
,,,00,00,000000,0000000000,United States,US,10113300,Logging,0,46400,40500,3700,38.7,914.48,23.63,39.2,999.60,25.50,0,0,0,0,0,0,47900,40900,4100,40.6,931.36,22.94,40.1,923.10,23.02,0,0,0,0,0,0,46600,40600,3700,38.4,840.19,21.88,39.4,946.78,24.03,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,32,-200,-1500,-100,-400,2,101133,False,10000000,No,Yes,No,Logging:10113300
,,,00,00,000000,0000000000,United States,US,10210000,Mining,0,546100,385900,76100,46.8,1455.01,31.09,45.4,1608.52,35.43,0,0,0,0,0,0,629800,444800,86200,45.9,1420.61,30.95,45.4,1598.08,35.20,0,0,0,0,0,0,554700,388200,80700,46.6,1433.42,30.76,45.3,1609.06,35.52,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,33,-8600,-83700,-2300,-58900,2,1021,True,10000000,No,Yes,No,Mining:10210000
,,,00,00,000000,0000000000,United States,US,10211000,Oil and gas extraction,0,130800,77700,32800,42.4,1587.46,37.44,41.5,1944.28,46.85,0,0,0,0,0,0,137200,77600,34400,44.2,1663.69,37.64,42.3,2048.59,48.43,0,0,0,0,0,0,141900,82800,36900,41.3,1576.01,38.16,40.8,1949.42,47.78,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,34,-11100,-6400,-5100,100,3,10211,False,10210000,No,Yes,No,Oil and gas extraction:10211000
,,,00,00,000000,0000000000,United States,US,10212000,"Mining, except oil and gas",0,175500,131700,17400,45.9,1309.53,28.53,44.6,1427.65,32.01,0,0,0,0,0,0,181800,135100,17700,46.1,1349.35,29.27,45.8,1468.81,32.07,0,0,0,0,0,0,177900,134000,17700,46.1,1295.87,28.11,45.0,1434.60,31.88,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,35,-2400,-6300,-2300,-3400,3,10212,True,10210000,No,Yes,No,"Mining, except oil and gas:10212000"
,,,00,00,000000,0000000000,United States,US,10212100,Coal mining,0,42900,0,1900,0.0,0.00,0.00,44.6,1547.62,34.70,0,0,0,0,0,0,47400,0,2400,0.0,0.00,0.00,46.4,1547.44,33.35,0,0,0,0,0,0,42400,0,1900,0.0,0.00,0.00,45.2,1591.49,35.21,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,36,500,-4500,0,0,4,102121,True,10212000,No,Yes,No,Coal mining:10212100
,,,00,00,000000,0000000000,United States,US,10212111,Bituminous coal and lignite surface mining,0,19200,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,20800,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,19100,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,37,100,-1600,0,0,5,,False,10212100,No,Yes,No,Bituminous coal and lignite surface mining:10212111
,,,00,00,000000,0000000000,United States,US,10212113,Bituminous coal underground mining and anthracite mining,0,23700,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,26600,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,23300,0,0,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,38,400,-2900,0,0,5,,False,10212100,No,Yes,No,Bituminous coal underground mining and anthracite mining:10212113
,,,00,00,000000,0000000000,United States,US,10212200,Metal ore mining,0,41500,0,4600,0.0,0.00,0.00,44.0,1583.12,35.98,0,0,0,0,0,0,41500,0,3800,0.0,0.00,0.00,44.9,1575.99,35.10,0,0,0,0,0,0,41300,0,4500,0.0,0.00,0.00,42.1,1539.18,36.56,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,39,200,0,0,0,4,102122,False,10212000,No,Yes,No,Metal ore mining:10212200
,,,00,00,000000,0000000000,United States,US,10212300,Nonmetallic mineral mining and quarrying,0,91100,0,10900,0.0,0.00,0.00,44.9,1300.75,28.97,0,0,0,0,0,0,92900,0,11500,0.0,0.00,0.00,45.9,1381.13,30.09,0,0,0,0,0,0,94200,0,11300,0.0,0.00,0.00,46.2,1319.01,28.55,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,40,-3100,-1800,0,0,4,102123,True,10212000,No,Yes,No,Nonmetallic mineral mining and quarrying:10212300
,,,00,00,000000,0000000000,United States,US,10212310,Stone mining and quarrying,0,40600,30200,4400,48.4,1273.40,26.31,46.5,1305.26,28.07,0,0,0,0,0,0,41000,30300,4200,49.9,1390.71,27.87,46.4,1384.11,29.83,0,0,0,0,0,0,42200,31500,4700,50.5,1309.47,25.93,48.2,1340.92,27.82,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,41,-1600,-400,-1300,-100,5,1021231,True,10212300,No,Yes,No,Stone mining and quarrying:10212310
,,,00,00,000000,0000000000,United States,US,10212312,Crushed and broken limestone mining,0,21300,15700,2200,50.3,1276.61,25.38,48.3,1331.15,27.56,0,0,0,0,0,0,21400,16200,2000,50.7,1311.10,25.86,48.1,1362.19,28.32,0,0,0,0,0,0,22500,16700,2400,51.1,1302.03,25.48,48.9,1356.49,27.74,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,42,-1200,-100,-1000,-500,6,,False,10212310,No,Yes,No,Crushed and broken limestone mining:10212312
,,,00,00,000000,0000000000,United States,US,10212319,Other stone mining and quarrying,0,19300,14500,2200,46.4,1271.82,27.41,44.5,1275.82,28.67,0,0,0,0,0,0,19600,14100,2200,49.0,1482.74,30.26,44.5,1406.65,31.61,0,0,0,0,0,0,19700,14800,2300,49.8,1317.21,26.45,47.5,1325.73,27.91,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,43,-400,-300,-300,400,6,,False,10212310,No,Yes,No,Other stone mining and quarrying:10212319
