stfips,areatype,area,maparea,areaname,Stateabbrv,periodid,PeriodString,matoccode,estoccprj,projoccprj,grrate,nchg,pchg,aopeng,aopenr,aopent,exits,annualexits,transfers,annualtransfers,change,annualchange,openings,annualopenings,growcode,growdesc,suppress,estyear,projyear,codetype,occcode,codeTitle,codelevel,inDemand,regionalInDemand,green,regionalGreen,DemandRank,Timeperiod,Fullperiod,Sortperiod,Rank,SortOcc
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,132011,3611,3853,0.6508,242,6.7017,,,,1053,105,2425,242,242,24,3720,371,GG,Growing,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,11,Accountants and Auditors
35,15,000015,3515000015,Northern Region,NM,18,20180020280005,132011,1495,1577,0.5354,82,5.4849,,,,433,43,998,100,82,8,1513,151,SS,Stable,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,12,Accountants and Auditors
35,21,029740,3521029740,Las Cruces MSA,NM,18,20180020280005,132011,469,512,0.8811,43,9.1684,,,,138,14,319,32,43,4,500,50,GG,Growing,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,13,Accountants and Auditors
35,15,000005,3515000005,Central Region,NM,18,20180020280005,132011,3611,3853,0.6508,242,6.7017,,,,1053,105,2425,242,242,24,3720,371,GG,Growing,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,14,Accountants and Auditors
35,21,042140,3521042140,Santa Fe MSA,NM,18,20180020280005,132011,736,769,0.4396,33,4.4837,,,,212,21,489,49,33,3,734,73,SS,Stable,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,15,Accountants and Auditors
35,15,000020,3515000020,Eastern Region,NM,18,20180020280005,132011,604,646,0.6745,42,6.9536,,,,176,18,406,41,42,4,624,63,GG,Growing,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,16,Accountants and Auditors
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,132011,6596,7039,0.6521,443,6.7162,,,,1923,192,4431,443,443,44,6797,679,GG,Growing,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,17,Accountants and Auditors
35,15,000010,3515000010,Southwestern Region,NM,18,20180020280005,132011,599,652,0.8514,53,8.8481,,,,176,18,407,41,53,5,636,64,GG,Growing,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,18,Accountants and Auditors
35,21,022140,3521022140,Farmington MSA,NM,18,20180020280005,132011,273,283,0.3604,10,3.6630,,,,78,8,181,18,10,1,269,27,SS,Stable,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,19,Accountants and Auditors
00,00,000000,0000000000,United States,US,18,20180020280005,272011,64500,65100,,600,0.9000,,,,24000,2400,52000,5200,600,60,77000,7700,SS,Stable,0,2018,2028,14,272011,Actors,6,0,0,0,0,,2018-2028,20180020280005,2018202818,20,Actors
35,15,000005,3515000005,Central Region,NM,18,20180020280005,272011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,272011,Actors,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;21,Actors
35,15,000015,3515000015,Northern Region,NM,18,20180020280005,272011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,272011,Actors,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;22,Actors
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,272011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,272011,Actors,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;23,Actors
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,272011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,272011,Actors,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;24,Actors
35,21,022140,3521022140,Farmington MSA,NM,18,20180020280005,272011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,272011,Actors,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;25,Actors
35,15,000010,3515000010,Southwestern Region,NM,18,20180020280005,272011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,272011,Actors,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;26,Actors
00,00,000000,0000000000,United States,US,18,20180020280005,272010,216900,224800,,7900,3.6000,,,,58000,5800,171000,17100,7900,790,237000,23700,SS,Stable,0,2018,2028,14,272010,"Actors, Producers, and Directors",5,,,,,,2018-2028,20180020280005,2018202818,27,"Actors, Producers, and Directors"
00,00,000000,0000000000,United States,US,18,20180020280005,152011,25000,30000,,5000,20.1000,,,,3000,300,13000,1300,5000,500,22000,2200,GG,Growing,0,2018,2028,14,152011,Actuaries,6,1,0,0,0,,2018-2028,20180020280005,2018202818,28,Actuaries
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,152011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,152011,Actuaries,6,1,0,0,0,,2018-2028,20180020280005,2018202818,s;29,Actuaries
35,15,000015,3515000015,Northern Region,NM,18,20180020280005,152011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,152011,Actuaries,6,1,0,0,0,,2018-2028,20180020280005,2018202818,s;30,Actuaries
35,21,029740,3521029740,Las Cruces MSA,NM,18,20180020280005,152011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,152011,Actuaries,6,1,0,0,0,,2018-2028,20180020280005,2018202818,s;31,Actuaries
35,15,000005,3515000005,Central Region,NM,18,20180020280005,152011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,152011,Actuaries,6,1,0,0,0,,2018-2028,20180020280005,2018202818,s;32,Actuaries
35,21,042140,3521042140,Santa Fe MSA,NM,18,20180020280005,152011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,152011,Actuaries,6,1,0,0,0,,2018-2028,20180020280005,2018202818,s;33,Actuaries
35,15,000020,3515000020,Eastern Region,NM,18,20180020280005,152011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,152011,Actuaries,6,1,0,0,0,,2018-2028,20180020280005,2018202818,s;34,Actuaries
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,152011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,152011,Actuaries,6,1,0,0,0,,2018-2028,20180020280005,2018202818,s;35,Actuaries
35,15,000010,3515000010,Southwestern Region,NM,18,20180020280005,152011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,152011,Actuaries,6,1,0,0,0,,2018-2028,20180020280005,2018202818,s;36,Actuaries
00,00,000000,0000000000,United States,US,18,20180020280005,519191,16500,16100,,-400,-2.6000,,,,5000,500,16000,1600,-400,-40,21000,2100,DD,Declining,0,2018,2028,14,519191,Adhesive Bonding Machine Operators and Tenders,6,0,0,0,0,,2018-2028,20180020280005,2018202818,37,Adhesive Bonding Machine Operators and Tenders
35,15,000010,3515000010,Southwestern Region,NM,18,20180020280005,519191,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,519191,Adhesive Bonding Machine Operators and Tenders,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;38,Adhesive Bonding Machine Operators and Tenders
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,519191,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,519191,Adhesive Bonding Machine Operators and Tenders,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;39,Adhesive Bonding Machine Operators and Tenders
35,15,000005,3515000005,Central Region,NM,18,20180020280005,519191,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,519191,Adhesive Bonding Machine Operators and Tenders,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;40,Adhesive Bonding Machine Operators and Tenders
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,519191,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,519191,Adhesive Bonding Machine Operators and Tenders,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;41,Adhesive Bonding Machine Operators and Tenders
00,00,000000,0000000000,United States,US,18,20180020280005,231021,15200,15500,,300,1.7000,,,,3000,300,4000,400,300,30,8000,800,SS,Stable,0,2018,2028,14,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,0,0,0,0,,2018-2028,20180020280005,2018202818,42,"Administrative Law Judges, Adjudicators, and Hearing Officers"
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,231021,134,136,0.1483,2,1.4925,,,,29,3,36,4,2,0,67,7,SS,Stable,0,2018,2028,14,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,0,0,0,0,,2018-2028,20180020280005,2018202818,43,"Administrative Law Judges, Adjudicators, and Hearing Officers"
35,15,000015,3515000015,Northern Region,NM,18,20180020280005,231021,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;44,"Administrative Law Judges, Adjudicators, and Hearing Officers"
35,21,029740,3521029740,Las Cruces MSA,NM,18,20180020280005,231021,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;45,"Administrative Law Judges, Adjudicators, and Hearing Officers"
35,15,000005,3515000005,Central Region,NM,18,20180020280005,231021,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;46,"Administrative Law Judges, Adjudicators, and Hearing Officers"
35,21,042140,3521042140,Santa Fe MSA,NM,18,20180020280005,231021,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;47,"Administrative Law Judges, Adjudicators, and Hearing Officers"
35,15,000020,3515000020,Eastern Region,NM,18,20180020280005,231021,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;48,"Administrative Law Judges, Adjudicators, and Hearing Officers"
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,231021,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;49,"Administrative Law Judges, Adjudicators, and Hearing Officers"
35,15,000010,3515000010,Southwestern Region,NM,18,20180020280005,231021,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;50,"Administrative Law Judges, Adjudicators, and Hearing Officers"
00,00,000000,0000000000,United States,US,18,20180020280005,113011,300200,322000,,21800,7.3000,,,,86000,8600,174000,17400,21800,2180,281000,28100,GG,Growing,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,51,Administrative Services Managers
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,113011,927,990,0.6597,63,6.7961,,,,264,26,535,54,63,6,862,86,GG,Growing,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,52,Administrative Services Managers
35,15,000015,3515000015,Northern Region,NM,18,20180020280005,113011,426,459,0.7489,33,7.7465,,,,122,12,247,25,33,3,402,40,GG,Growing,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,53,Administrative Services Managers
35,21,029740,3521029740,Las Cruces MSA,NM,18,20180020280005,113011,98,108,0.9764,10,10.2041,,,,28,3,57,6,10,1,95,10,GG,Growing,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,54,Administrative Services Managers
35,15,000005,3515000005,Central Region,NM,18,20180020280005,113011,927,990,0.6597,63,6.7961,,,,264,26,535,54,63,6,862,86,GG,Growing,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,55,Administrative Services Managers
35,21,042140,3521042140,Santa Fe MSA,NM,18,20180020280005,113011,181,189,0.4334,8,4.4199,,,,51,5,103,10,8,1,162,16,SS,Stable,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,56,Administrative Services Managers
35,15,000020,3515000020,Eastern Region,NM,18,20180020280005,113011,216,239,1.0170,23,10.6481,,,,63,6,127,13,23,2,213,21,GG,Growing,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,57,Administrative Services Managers
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,113011,1807,1943,0.7283,136,7.5263,,,,516,52,1046,105,136,14,1698,171,GG,Growing,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,58,Administrative Services Managers
35,15,000010,3515000010,Southwestern Region,NM,18,20180020280005,113011,149,162,0.8400,13,8.7248,,,,43,4,87,9,13,1,143,14,GG,Growing,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,59,Administrative Services Managers
35,21,022140,3521022140,Farmington MSA,NM,18,20180020280005,113011,60,61,0.1654,1,1.6667,,,,17,2,34,3,1,0,52,5,SS,Stable,0,2018,2028,14,113011,Administrative Services Managers,6,1,0,0,0,,2018-2028,20180020280005,2018202818,60,Administrative Services Managers
00,00,000000,0000000000,United States,US,18,20180020280005,253011,67200,60200,,-7000,-10.3000,,,,37000,3700,36000,3600,-7000,-700,66000,6600,DD,Declining,0,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,61,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
35,15,000020,3515000020,Eastern Region,NM,18,20180020280005,253011,132,121,-0.8663,-11,-8.3333,,,,73,7,71,7,-11,-1,133,13,DD,Declining,0,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,62,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,253011,476,439,-0.8059,-37,-7.7731,,,,264,26,257,26,-37,-4,484,48,DD,Declining,0,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,63,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
35,15,000015,3515000015,Northern Region,NM,18,20180020280005,253011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;64,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
35,21,029740,3521029740,Las Cruces MSA,NM,18,20180020280005,253011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;65,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
35,15,000005,3515000005,Central Region,NM,18,20180020280005,253011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;66,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
35,21,042140,3521042140,Santa Fe MSA,NM,18,20180020280005,253011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;67,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,253011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;68,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
35,21,022140,3521022140,Farmington MSA,NM,18,20180020280005,253011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;69,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
35,15,000010,3515000010,Southwestern Region,NM,18,20180020280005,253011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,253011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;70,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
00,00,000000,0000000000,United States,US,18,20180020280005,112011,27600,28400,,900,3.2000,,,,6000,600,21000,2100,900,90,27000,2700,SS,Stable,0,2018,2028,14,112011,Advertising and Promotions Managers,6,0,0,0,0,,2018-2028,20180020280005,2018202818,71,Advertising and Promotions Managers
35,15,000005,3515000005,Central Region,NM,18,20180020280005,112011,71,74,0.4147,3,4.2254,,,,15,2,54,5,3,0,72,7,SS,Stable,0,2018,2028,14,112011,Advertising and Promotions Managers,6,0,0,0,0,,2018-2028,20180020280005,2018202818,72,Advertising and Promotions Managers
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,112011,112,116,0.3515,4,3.5714,,,,23,2,85,8,4,0,112,10,SS,Stable,0,2018,2028,14,112011,Advertising and Promotions Managers,6,0,0,0,0,,2018-2028,20180020280005,2018202818,73,Advertising and Promotions Managers
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,112011,71,74,0.4147,3,4.2254,,,,15,2,54,5,3,0,72,7,SS,Stable,0,2018,2028,14,112011,Advertising and Promotions Managers,6,0,0,0,0,,2018-2028,20180020280005,2018202818,74,Advertising and Promotions Managers
35,15,000015,3515000015,Northern Region,NM,18,20180020280005,112011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,112011,Advertising and Promotions Managers,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;75,Advertising and Promotions Managers
35,21,029740,3521029740,Las Cruces MSA,NM,18,20180020280005,112011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,112011,Advertising and Promotions Managers,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;76,Advertising and Promotions Managers
35,21,042140,3521042140,Santa Fe MSA,NM,18,20180020280005,112011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,112011,Advertising and Promotions Managers,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;77,Advertising and Promotions Managers
35,15,000020,3515000020,Eastern Region,NM,18,20180020280005,112011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,112011,Advertising and Promotions Managers,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;78,Advertising and Promotions Managers
35,15,000010,3515000010,Southwestern Region,NM,18,20180020280005,112011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,112011,Advertising and Promotions Managers,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;79,Advertising and Promotions Managers
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,413011,622,609,-0.2110,-13,-2.0900,,,,194,19,640,64,-13,-1,821,82,DD,Declining,0,2018,2028,14,413011,Advertising Sales Agents,6,0,0,0,0,,2018-2028,20180020280005,2018202818,80,Advertising Sales Agents
35,15,000015,3515000015,Northern Region,NM,18,20180020280005,413011,113,107,-0.5441,-6,-5.3097,,,,35,4,114,11,-6,-1,143,14,DD,Declining,0,2018,2028,14,413011,Advertising Sales Agents,6,0,0,0,0,,2018-2028,20180020280005,2018202818,81,Advertising Sales Agents
00,00,000000,0000000000,United States,US,18,20180020280005,413011,147900,144600,,-3300,-2.2000,,,,46000,4600,152000,15200,-3300,-330,195000,19500,DD,Declining,0,2018,2028,14,413011,Advertising Sales Agents,6,0,0,0,0,,2018-2028,20180020280005,2018202818,82,Advertising Sales Agents
35,21,042140,3521042140,Santa Fe MSA,NM,18,20180020280005,413011,48,43,-1.0940,-5,-10.4167,,,,14,1,47,5,-5,0,56,6,DD,Declining,0,2018,2028,14,413011,Advertising Sales Agents,6,0,0,0,0,,2018-2028,20180020280005,2018202818,83,Advertising Sales Agents
35,15,000005,3515000005,Central Region,NM,18,20180020280005,413011,363,360,-0.0830,-3,-0.8264,,,,114,11,376,38,-3,0,487,49,DD,Declining,0,2018,2028,14,413011,Advertising Sales Agents,6,0,0,0,0,,2018-2028,20180020280005,2018202818,84,Advertising Sales Agents
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,413011,363,360,-0.0830,-3,-0.8264,,,,114,11,376,38,-3,0,487,49,DD,Declining,0,2018,2028,14,413011,Advertising Sales Agents,6,0,0,0,0,,2018-2028,20180020280005,2018202818,85,Advertising Sales Agents
35,21,029740,3521029740,Las Cruces MSA,NM,18,20180020280005,413011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,413011,Advertising Sales Agents,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;86,Advertising Sales Agents
35,15,000020,3515000020,Eastern Region,NM,18,20180020280005,413011,s;,s;,s;,s;,s;,s;,s;,s;,,s;,,s;,,s;,,s;,s;99,s;N/A,1,2018,2028,14,413011,Advertising Sales Agents,6,0,0,0,0,,2018-2028,20180020280005,2018202818,s;87,Advertising Sales Agents
